regression_id	severity	regression_name	introduced_by_commit	introduced_by_subject	discovered_in_commit	discovered_on	fixed_by_commit	fixed_by_subject	head_status	affected_modules	evidence_paths	reproducer_test	verification_command	impact_summary	owner	notes
REG-2026-02-09-001	P1	Purchase return precision comparison rejects legitimate full returns	b341ec1f	fix: close remaining P1 predeploy blockers	b341ec1f	2026-02-09	d14fb7f6	fix: close purchase-return precision and mixed cashflow allocation regressions	FIXED_VERIFIED	purchasing,accounting	erp-domain/src/main/java/com/bigbrightpaints/erp/modules/purchasing/service/PurchasingService.java:819;erp-domain/src/main/java/com/bigbrightpaints/erp/modules/purchasing/service/PurchasingService.java:1109	PurchasingServiceTest#recordPurchaseReturn_currencyPrecisionComparison_allowsRoundedMatch	cd erp-domain && mvn -B -ntp -Dtest=PurchasingServiceTest test	Can block valid returns and leave AP/outstanding mismatched	agent	Validation compares currency-rounded amounts; replay and outstanding updates also currency-normalized.
REG-2026-02-09-002	P2	Cash-flow mixed journal entry assigned to single section (winner-take-all)	b341ec1f	fix: close remaining P1 predeploy blockers	b341ec1f	2026-02-09	d14fb7f6	fix: close purchase-return precision and mixed cashflow allocation regressions	FIXED_VERIFIED	reports,accounting	erp-domain/src/main/java/com/bigbrightpaints/erp/modules/reports/service/ReportService.java:160;erp-domain/src/main/java/com/bigbrightpaints/erp/modules/reports/service/ReportService.java:459	CR_Reports_CashFlow_NotZeroByConstructionIT#cashFlow_apportionsMixedCounterpartySections_withinSingleCashJournal	cd erp-domain && mvn -B -ntp -Dtest=CR_Reports_CashFlow_NotZeroByConstructionIT test	Misstates section-level cash flow (operating/investing/financing) under mixed counterparty lines	agent	Cash deltas are now apportioned by section weights with rounding remainder to dominant section.
REG-2026-02-09-003	P1	Orchestrator idempotency persisted SUCCESS before outer transaction durability	e731f640	fix: persist orchestrator idempotency status transitions	e731f640	2026-02-09	8fef1c67	fix: make idempotency success and reversal audits commit-safe	FIXED_VERIFIED	orchestrator,idempotency	erp-domain/src/main/java/com/bigbrightpaints/erp/orchestrator/service/OrchestratorIdempotencyService.java:96;erp-domain/src/main/java/com/bigbrightpaints/erp/orchestrator/service/OrchestratorIdempotencyService.java:109	TS_RuntimeOrchestratorIdempotencyExecutableCoverageTest#mark_success_marks_failed_when_outer_transaction_rolls_back	cd erp-domain && mvn -B -ntp -Dtest=TS_RuntimeOrchestratorIdempotencyExecutableCoverageTest test	False SUCCESS could skip valid retries after rollback of real business work	agent	SUCCESS now persists after commit; rollback marks command FAILED with rollback reason. Revalidated at HEAD on 2026-02-09 against review comment.
REG-2026-02-09-004	P1	Cascade reversal could emit success audit despite transaction rollback	e7820148	fix: make cascade journal reversal fail closed	e7820148	2026-02-09	8fef1c67	fix: make idempotency success and reversal audits commit-safe	FIXED_VERIFIED	accounting,audit	erp-domain/src/main/java/com/bigbrightpaints/erp/modules/accounting/service/AccountingService.java:723;erp-domain/src/main/java/com/bigbrightpaints/erp/modules/accounting/service/AccountingService.java:2974	AccountingServiceTest#reverseJournalEntry_skipsSuccessAudit_whenTransactionRollsBack	cd erp-domain && mvn -B -ntp -Dtest=AccountingServiceTest test	Incorrect audit trail could claim reversal success while data rolled back	agent	Success audit is now registered for afterCommit only; no success log on rollback paths.
REG-2026-02-09-005	P1	Credit-note idempotency compares requested amount to total credits (AR+discount)	1b3fc768	CODE-RED Block D3: return + credit idempotency	1b3fc768	2026-02-09	385224bf	fix: close predeploy accounting and idempotency regressions	FIXED_VERIFIED	accounting,sales	erp-domain/src/main/java/com/bigbrightpaints/erp/modules/accounting/service/AccountingService.java:2540;erp-domain/src/main/java/com/bigbrightpaints/erp/modules/accounting/service/AccountingService.java:3546	CR_SalesReturnCreditNoteIdempotencyTest#creditNote_discountedInvoice_idempotentRetry_returnsSameJournal	cd erp-domain && mvn -B -ntp -Dtest=CR_SalesReturnCreditNoteIdempotencyTest test	Legitimate idempotent credit-note retries for discounted invoices can be rejected with CONCURRENCY_CONFLICT	agent	Credit-note idempotency now compares receivable-credit amount for replay equivalence on discounted invoices; verified by targeted class and full verify_local on 2026-02-10.
REG-2026-02-09-006	P1	Dealer settlement concurrent no-reference retry can fail idempotency with conflict	73f0a2e0b1eac60825f89cc56c04e46a58c87435	CODE-RED Block D2: dealer settlement idempotency reserve-first	73f0a2e0b1eac60825f89cc56c04e46a58c87435	2026-02-09	385224bf	fix: close predeploy accounting and idempotency regressions	FIXED_VERIFIED	accounting,idempotency	erp-domain/src/main/java/com/bigbrightpaints/erp/modules/accounting/service/AccountingService.java:1606;erp-domain/src/main/java/com/bigbrightpaints/erp/modules/accounting/service/AccountingService.java:1607;erp-domain/src/main/java/com/bigbrightpaints/erp/modules/accounting/service/AccountingService.java:2201	CR_DealerReceiptSettlementAuditTrailTest#dealerSettlement_isIdempotent_underConcurrency_withoutReferenceNumber	cd erp-domain && mvn -B -ntp -Dtest=CR_DealerReceiptSettlementAuditTrailTest#dealerSettlement_isIdempotent_underConcurrency_withoutReferenceNumber test	Concurrent duplicate settlement calls with server-generated references can return CONCURRENCY_CONFLICT instead of replaying the original settlement	agent	No-reference settlements now reserve mapping first and regenerate canonical dealer reference for the leader path; concurrent retries converge on one journal.
REG-2026-02-09-007	P2	Dealer settlement replay can return before canonical reference mapping is linked	73f0a2e0b1eac60825f89cc56c04e46a58c87435	CODE-RED Block D2: dealer settlement idempotency reserve-first	73f0a2e0b1eac60825f89cc56c04e46a58c87435	2026-02-09	385224bf	fix: close predeploy accounting and idempotency regressions	FIXED_VERIFIED	accounting,idempotency	erp-domain/src/main/java/com/bigbrightpaints/erp/modules/accounting/service/AccountingService.java:1624;erp-domain/src/main/java/com/bigbrightpaints/erp/modules/accounting/service/AccountingService.java:1630;erp-domain/src/main/java/com/bigbrightpaints/erp/modules/accounting/service/AccountingService.java:1710	AccountingServiceTest#settleDealerInvoices_replay_linksReferenceMapping_beforeReturn	cd erp-domain && mvn -B -ntp -Dtest=AccountingServiceTest#settleDealerInvoices_replay_linksReferenceMapping_beforeReturn test	Pre-reserve historical settlements can keep stale key-to-reference mappings, causing false conflicts and unnecessary idempotency wait paths	agent	Replay and existing-allocation paths now link canonical reference mapping before return, repairing stale reserved mappings from historical rows.
REG-2026-02-09-008	P1	Dealer receipt reference reuse with new idempotency key appends duplicate settlement allocations	0ee473af	CODE-RED Block D1: dealer receipt idempotency reserve-first	0ee473af	2026-02-09	385224bf	fix: close predeploy accounting and idempotency regressions	FIXED_VERIFIED	accounting,idempotency,settlements	erp-domain/src/main/java/com/bigbrightpaints/erp/modules/accounting/service/AccountingService.java:775;erp-domain/src/main/java/com/bigbrightpaints/erp/modules/accounting/service/AccountingService.java:920;erp-domain/src/main/java/com/bigbrightpaints/erp/modules/accounting/service/AccountingService.java:465	CR_DealerReceiptSettlementAuditTrailTest#dealerReceipt_reusedReferenceWithDifferentIdempotencyKey_doesNotDuplicateAllocations	cd erp-domain && mvn -B -ntp -Dtest=CR_DealerReceiptSettlementAuditTrailTest test	Reused journal reference with different key can overstate settlement activity by inserting duplicate PartnerSettlementAllocation rows while invoice balances stay unchanged	agent	Dealer receipt/split now short-circuit when allocations already exist for the resolved journal reference, preventing duplicate settlement rows across new keys.
REG-2026-02-09-009	P2	Legacy dispatch movements with NULL packing_slip_id cannot be relinked after slip-scoped query	7ec3226e	CODE-RED: slip-scoped COGS truth	7ec3226e	2026-02-09	385224bf	fix: close predeploy accounting and idempotency regressions	FIXED_VERIFIED	inventory,accounting,migrations	erp-domain/src/main/java/com/bigbrightpaints/erp/modules/inventory/service/FinishedGoodsService.java:1669;erp-domain/src/main/java/com/bigbrightpaints/erp/modules/inventory/domain/InventoryMovementRepository.java:24;erp-domain/src/main/resources/db/migration/V120__inventory_movements_packaging_slip_id.sql:2	FinishedGoodsServiceTest#linkDispatchMovementsToJournal_backfillsLegacyNullPackingSlipIdForSingleSlipOrder	cd erp-domain && mvn -B -ntp -Dtest=FinishedGoodsServiceTest#linkDispatchMovementsToJournal_backfillsLegacyNullPackingSlipIdForSingleSlipOrder test	Idempotent dispatch replay can leave pre-migration movements unlinked to COGS journals, breaking movement-to-journal traceability	agent	Dispatch relink now falls back to legacy sales-order movements with NULL packing_slip_id when the order has exactly one slip, then backfills slip/journal linkage.
REG-2026-02-09-010	P1	Closed-period temporal balance snapshot math ignores account natural side	87b5c9ce	feat: period-end snapshots for closed-period reports	87b5c9ce	2026-02-09	385224bf	fix: close predeploy accounting and idempotency regressions	FIXED_VERIFIED	accounting,reports	erp-domain/src/main/java/com/bigbrightpaints/erp/modules/accounting/service/TemporalBalanceService.java:69;erp-domain/src/main/java/com/bigbrightpaints/erp/modules/accounting/service/TemporalBalanceService.java:99	CR_PeriodCloseSnapshotsTest#accountBalanceAsOf_closedSnapshot_normalizesCreditNaturalSign	cd erp-domain && mvn -B -ntp -Dtest=CR_PeriodCloseSnapshotsTest#accountBalanceAsOf_closedSnapshot_normalizesCreditNaturalSign test	Credit-normal accounts can be sign-flipped in closed-period as-of balances, distorting trial balance and financial reports	agent	Closed snapshot balances now normalize by account natural side so credit-normal accounts use credit-minus-debit semantics in as-of reads.
